"city","time","temp","humidity","weather_description","wind_speed","clouds","precipitation_prob","rain","partition_id"
"Atlanta","2025-08-23 06:00:00","71.46","94","overcast clouds","5.84","90","0.0",,"forecast"
"Atlanta","2025-08-23 12:00:00","67.33","95","overcast clouds","6.04","100","0.8",,"forecast"
"Atlanta","2025-08-25 03:00:00","77.18","71","light rain","3.71","0","0.36","0.14","forecast"
"Atlanta","2025-08-25 12:00:00","68.88","68","clear sky","7.56","0","0.0",,"forecast"
"Atlanta","2025-08-25 21:00:00","89.91","23","clear sky","11.12","2","0.0",,"forecast"
"Atlanta","2025-08-24 15:00:00","78.4","67","light rain","1.9","98","0.37","0.15","forecast"
"Atlanta","2025-08-23 18:00:00","77.74","80","moderate rain","7.63","95","1.0","3.77","forecast"
"Atlanta","2025-08-24 15:00:00","79.25","62","light rain","2.77","37","0.27","0.14","forecast"
"Atlanta","2025-08-22 15:00:00","73.74","68","light rain","7.92","76","0.54","0.43","forecast"
"Atlanta","2025-08-27 06:00:00","63.3","70","broken clouds","4.56","73","0.0",,"forecast"
"Atlanta","2025-08-25 18:00:00","84.74","25","few clouds","11.5","14","0.0",,"forecast"
"Atlanta","2025-08-23 15:00:00","77.95","69","overcast clouds","7.43","86","0.0",,"forecast"
"Atlanta","2025-08-23 06:00:00","71.91","92","overcast clouds","6.55","100","0.0",,"forecast"
"Atlanta","2025-08-25 21:00:00","88.34","21","broken clouds","11.86","59","0.0",,"forecast"
"Atlanta","2025-08-24 12:00:00","69.93","90","broken clouds","4.29","60","0.0",,"forecast"
"Atlanta","2025-08-23 09:00:00","70.02","96","light rain","6.62","100","1.0","2.94","forecast"
"Atlanta","2025-08-26 00:00:00","78.4","32","scattered clouds","10.47","38","0.0",,"forecast"
"Atlanta","2025-08-23 00:00:00","77.81","81","moderate rain","5.41","93","1.0","4.1","forecast"
"Atlanta","2025-08-26 18:00:00","77.63","30","overcast clouds","5.37","97","0.0",,"forecast"
"Atlanta","2025-08-26 00:00:00","80.51","32","broken clouds","10.92","58","0.0",,"forecast"
"Atlanta","2025-08-26 15:00:00","70.74","37","overcast clouds","5.08","100","0.0",,"forecast"
"Atlanta","2025-08-22 12:00:00","68.32","90","light rain","4.7","67","0.28","0.46","forecast"
"Atlanta","2025-08-23 06:00:00","69.49","95","light rain","4.81","100","1.0","0.51","forecast"
"Atlanta","2025-08-27 12:00:00","64.92","51","clear sky","4.14","8","0.0",,"forecast"
"Atlanta","2025-08-24 09:00:00","69.94","86","broken clouds","4.9","66","0.0",,"forecast"
"Atlanta","2025-08-25 00:00:00","79.79","67","light rain","3.76","55","0.73","1.07","forecast"
"Atlanta","2025-08-24 00:00:00","78.28","72","light rain","7.02","72","1.0","0.1","forecast"
"Atlanta","2025-08-23 00:00:00","74.64","88","light rain","6.44","99","1.0","1.43","forecast"
"Atlanta","2025-08-24 15:00:00","79.63","56","few clouds","3.8","13","0.0",,"forecast"
"Atlanta","2025-08-23 09:00:00","70.56","96","overcast clouds","5.79","100","0.0",,"forecast"
"Atlanta","2025-08-23 15:00:00","77.88","73","light rain","7.05","67","0.44","0.28","forecast"
"Atlanta","2025-08-22 18:00:00","75.54","73","light rain","8.34","86","1.0","2.52","forecast"
"Atlanta","2025-08-26 21:00:00","64.78","65","light rain","5.14","100","0.34","0.1","forecast"
"Atlanta","2025-08-24 06:00:00","71.51","93","few clouds","5.08","11","0.88",,"forecast"
"Atlanta","2025-08-22 18:00:00","75.38","61","light rain","7.63","77","1.0","2.39","forecast"
"Atlanta","2025-08-24 06:00:00","70.84","95","broken clouds","5.82","61","0.0",,"forecast"
"Atlanta","2025-08-24 18:00:00","88.57","41","scattered clouds","1.52","30","0.0",,"forecast"
"Atlanta","2025-08-26 18:00:00","70.86","38","overcast clouds","6.53","100","0.0",,"forecast"
"Atlanta","2025-08-27 03:00:00","65.59","67","overcast clouds","7.16","94","0.0",,"forecast"
"Atlanta","2025-08-26 15:00:00","66.16","55","overcast clouds","2.68","100","0.0",,"forecast"
"Atlanta","2025-08-24 15:00:00","79.81","58","scattered clouds","2.71","50","0.0",,"forecast"
"Atlanta","2025-08-24 09:00:00","70.3","91","overcast clouds","4.76","100","0.0",,"forecast"
"Atlanta","2025-08-23 12:00:00","70.68","94","overcast clouds","6.35","97","0.0",,"forecast"
"Atlanta","2025-08-25 15:00:00","80.51","41","clear sky","9.08","1","0.0",,"forecast"
"Atlanta","2025-08-26 09:00:00","69.67","41","overcast clouds","6.04","100","0.0",,"forecast"
"Atlanta","2025-08-26 21:00:00","81.97","25","broken clouds","7.99","79","0.0",,"forecast"
"Atlanta","2025-08-25 03:00:00","76.87","76","light rain","4.36","71","1.0","1.03","forecast"
"Atlanta","2025-08-24 21:00:00","90.64","38","broken clouds","0.83","54","0.0",,"forecast"
"Atlanta","2025-08-27 15:00:00","72.64","40","clear sky","10.0","0","0.0",,"forecast"
"Atlanta","2025-08-24 00:00:00","76.59","80","light rain","6.22","60","1.0","1.71","forecast"
"Atlanta","2025-08-24 21:00:00","90.73","36","few clouds","4.03","23","0.0",,"forecast"
"Atlanta","2025-08-27 12:00:00","64.92","51","clear sky","4.14","8","0.0",,"forecast"
"Atlanta","2025-08-23 18:00:00","83.73","54","light rain","5.91","82","0.2","0.13","forecast"
"Atlanta","2025-08-26 00:00:00","79.02","31","scattered clouds","10.29","30","0.0",,"forecast"
"Atlanta","2025-08-25 03:00:00","75.67","84","light rain","4.36","100","0.85","0.71","forecast"
"Atlanta","2025-08-23 00:00:00","74.64","88","light rain","6.44","99","1.0","1.43","forecast"
"Atlanta","2025-08-24 15:00:00","79.63","56","few clouds","3.8","13","0.0",,"forecast"
"Atlanta","2025-08-23 09:00:00","70.56","96","overcast clouds","5.79","100","0.0",,"forecast"
"Atlanta","2025-08-23 15:00:00","77.88","73","light rain","7.05","67","0.44","0.28","forecast"
"Atlanta","2025-08-22 18:00:00","75.54","73","light rain","8.34","86","1.0","2.52","forecast"
"Atlanta","2025-08-25 06:00:00","73.22","89","light rain","4.88","66","0.81","0.55","forecast"
